"ControlId","Title","AssessmentStatus","Section"
"5.1.2.1","Ensure 'Per-user MFA' is disabled","Automated","5.1.2"
"5.1.2.3","Ensure 'Restrict non-admin users from creating tenants' is set to 'Yes'","Automated","5.1.2"
"5.1.2.4","Ensure access to the Entra admin center is restricted","Manual","5.1.2"
"5.1.3.1","Ensure a dynamic group for guest users is created","Automated","5.1.3"
"5.1.3.2","Ensure users cannot create security groups","Automated","5.1.3"
"5.1.4.2","Ensure the maximum number of devices per user is limited","Automated","5.1.4"
"5.1.4.3","Ensure the GA role is not added as a local administrator during Entra join","Automated","5.1.4"
"5.1.4.4","Ensure local administrator assignment is limited during Entra join","Automated","5.1.4"
"5.1.4.5","Ensure Local Administrator Password Solution is enabled","Automated","5.1.4"
"5.1.5.2","Ensure the admin consent workflow is enabled","Automated","5.1.5"
"5.1.6.2","Ensure that guest user access is restricted","Automated","5.1.6"
"5.1.8.1","Ensure that password hash sync is enabled for hybrid deployments","Manual","5.1.8"
"5.2.2.1","Ensure multifactor authentication is enabled for all users in administrative roles","Automated","5.2.2"
"5.2.2.2","Ensure multifactor authentication is enabled for all users","Automated","5.2.2"
"5.2.2.3","Enable Conditional Access policies to block legacy authentication","Automated","5.2.2"
"5.2.2.4","Ensure Sign-in frequency is enabled and browser sessions are not persistent for Administrative users","Automated","5.2.2"
"5.2.2.6","Enable Identity Protection user risk policies","Automated","5.2.2"
"5.2.2.7","Enable Identity Protection sign-in risk policies","Automated","5.2.2"
"5.2.2.9","Ensure a managed device is required for authentication","Automated","5.2.2"
"5.2.2.10","Ensure a managed device is required to register security information","Automated","5.2.2"
"5.2.2.11","Ensure sign-in frequency for Intune Enrollment is set to 'Every time'","Automated","5.2.2"
"5.2.2.12","Ensure the device code sign-in flow is blocked","Automated","5.2.2"
"5.2.3.1","Ensure Microsoft Authenticator is configured to protect against MFA fatigue","Automated","5.2.3"
"5.2.3.2","Ensure custom banned passwords lists are used","Automated","5.2.3"
"5.2.3.3","Ensure password protection is enabled for on-prem Active Directory","Automated","5.2.3"
"5.2.3.4","Ensure all member users are 'MFA capable'","Automated","5.2.3"
"5.2.3.5","Ensure weak authentication methods are disabled","Automated","5.2.3"
"5.2.3.6","Ensure system-preferred multifactor authentication is enabled","Automated","5.2.3"
"5.2.4.1","Ensure 'Self service password reset enabled' is set to 'All'","Manual","5.2.4"
"5.3.2","Ensure 'Access reviews' for Guest Users are configured","Automated","5.3"
"5.3.3","Ensure 'Access reviews' for privileged roles are configured","Automated","5.3"
"5.3.4","Ensure approval is required for Global Administrator role activation","Automated","5.3"
"5.3.5","Ensure approval is required for Privileged Role Administrator activation","Automated","5.3"
"6.1.1","Ensure 'AuditDisabled' organizationally is set to 'False'","Automated","6.1"
"6.1.2","Ensure mailbox audit actions are configured","Automated","6.1"
"6.1.3","Ensure 'AuditBypassEnabled' is not enabled on mailboxes","Automated","6.1"
"6.2.1","Ensure all forms of mail forwarding are blocked and/or disabled","Automated","6.2"
"6.2.2","Ensure mail transport rules do not whitelist specific domains","Automated","6.2"
"6.2.3","Ensure email from external senders is identified","Automated","6.2"
"6.5.1","Ensure modern authentication for Exchange Online is enabled","Automated","6.5"
"6.5.2","Ensure MailTips are enabled for end users","Automated","6.5"
"6.5.4","Ensure SMTP AUTH is disabled","Automated","6.5"
"7.2.1","Ensure modern authentication for SharePoint applications is required","Automated","7.2"
"7.2.2","Ensure SharePoint and OneDrive integration with Azure AD B2B is enabled","Automated","7.2"
"7.2.3","Ensure external content sharing is restricted","Automated","7.2"
"7.2.7","Ensure link sharing is restricted in SharePoint and OneDrive","Automated","7.2"
"7.2.9","Ensure guest access to a site or OneDrive will expire automatically","Automated","7.2"
"7.2.10","Ensure reauthentication with verification code is restricted","Automated","7.2"
"7.2.11","Ensure the SharePoint default sharing link permission is set","Automated","7.2"
"8.1.2","Ensure users can't send emails to a channel email address","Automated","8.1"
"8.2.2","Ensure communication with unmanaged Teams users is disabled","Automated","8.2"
"8.2.3","Ensure external Teams users cannot initiate conversations","Automated","8.2"
"8.2.4","Ensure the organization cannot communicate with accounts in trial Teams tenants","Automated","8.2"
"8.4.1","Ensure app permission policies are configured","Manual","8.4"
"8.5.2","Ensure anonymous users and dial-in callers can't start a meeting","Automated","8.5"
"8.5.3","Ensure only people in my org can bypass the lobby","Automated","8.5"
"8.5.4","Ensure users dialing in can't bypass the lobby","Automated","8.5"
"8.5.7","Ensure external participants can't give or request control","Automated","8.5"
"8.6.1","Ensure users can report security concerns in Teams","Automated","8.6"
"9.1.1","Ensure guest user access is restricted","Automated","9.1"
"9.1.2","Ensure external user invitations are restricted","Automated","9.1"
"9.1.3","Ensure guest access to content is restricted","Automated","9.1"
"9.1.4","Ensure 'Publish to web' is restricted","Automated","9.1"
"9.1.6","Ensure 'Allow users to apply sensitivity labels for content' is 'Enabled'","Automated","9.1"
"9.1.7","Ensure shareable links are restricted","Automated","9.1"
"9.1.8","Ensure enabling of external data sharing is restricted","Automated","9.1"
"9.1.9","Ensure 'Block ResourceKey Authentication' is 'Enabled'","Automated","9.1"
"9.1.10","Ensure access to APIs by service principals is restricted","Automated","9.1"
"9.1.11","Ensure service principals cannot create and use profiles","Automated","9.1"
"9.1.12","Ensure service principals ability to create workspaces, connections and deployment pipelines is restricted","Automated","9.1"
